,Assumed_Comp,Percent screened out in primary pre-screening (not sent to reactor),Percent screened out in secondary pre-screening (residual not sent to composting),Percent N emitted during composting,Percent NPK available as nutrient or emission (in addition to MFE),VOC emissions during curing,Percent Carbon loss during curing,Percent of L0 reached,Percent of Generated Methane used for Energy,Percent of Generated Methane oxidized,Percent of Generated Methane Emitted,Percent of Generated Methane Flared
Name,Incoming composition,,,,,VOCperVS,,,,,,
Unit,Mg component/Mg,%,%,%,%,mg VOC/kg VS loss,%,%,%,%,%,%
Source,,,,,,"EPA, 2003","EPA, 2003",,LF model,LF model,LF model,LF model
Yard_Trimmings_Leaves,0.158784731,5,100,0.38,100,4.54,57.2,100,40.4536671,3.855146293,26.94253761,28.74864899
Yard_Trimmings_Grass,0.119979485,5,100,0.38,100,4.54,57.2,100,24.20655341,4.209917657,33.50369725,38.07983169
Yard_Trimmings_Branches,0.117207682,10,100,0.38,100,4.54,57.2,50,37.9223101,16.89472454,38.96924112,6.213724243
Food_Waste_Vegetable,0.329676244,5,100,0.38,100,4.69,65.7,100,44.56313072,3.986452335,25.61354546,25.83687148
Food_Waste_Non_Vegetable,0.082419061,5,100,0.38,100,4.69,65.7,100,44.56313072,3.986452335,25.61354546,25.83687148
Wood,0.006546841,10,100,0.38,100,4.54,0,50,51.15666269,7.884132044,26.79977098,14.15943429
Wood_Other,2.64E-05,10,100,0.38,100,4.54,0,50,51.15666269,7.884132044,26.79977098,14.15943429
Textiles,0.005844735,10,100,0.38,100,1.73,2.8,50,44.0277278,13.45359916,33.97989562,8.538777426
Rubber_Leather,0.000684981,10,100,0.38,100,0,0,0,0,0,0,0
Newsprint,0.006507323,10,100,0.38,100,17.27,37.9,50,45.25468695,12.6921295,32.91725925,9.135924304
Corr_Cardboard,0.019133373,10,100,0.38,100,17.27,37.9,50,40.06040208,15.74003115,37.26446767,6.935099104
Office_Paper,0.003464425,10,100,0.38,100,17.27,28.8,50,44.0277278,13.45359916,33.97989562,8.538777426
Magazines,0.001047231,10,100,0.38,100,17.27,37.9,100,47.82401013,4.316027542,24.785614,23.07434832
third_Class_Mail,0.00285848,10,100,0.38,100,17.27,37.9,100,47.82401013,4.316027542,24.785614,23.07434832
Folding_Containers,0.003602738,10,100,0.38,100,17.27,37.9,50,40.06040208,15.74003115,37.26446767,6.935099104
Paper_Bags,0.002739925,10,100,0.38,100,17.27,37.9,50,40.06040208,15.74003115,37.26446767,6.935099104
Mixed_Paper,2.64E-05,10,100,0.38,100,17.27,37.9,50,44.67157752,13.05817388,33.42588985,8.844358748
Paper_Non_recyclable,0.038517027,10,100,0.38,100,17.27,37.9,100,47.82401013,4.316027542,24.785614,23.07434832
HDPE_Translucent_Containers,0.002107635,95,100,0,0,0,0,0,0,0,0,0
HDPE_Pigmented_Containers,0.003820088,95,100,0,0,0,0,0,0,0,0,0
PET_Containers,0.007034231,95,100,0,0,0,0,0,0,0,0,0
Plastic_Other_1_Polypropylene,2.64E-05,95,100,0,0,0,0,0,0,0,0,0
Plastic_Other_2,2.64E-05,95,100,0,0,0,0,0,0,0,0,0
Mixed_Plastic,2.64E-05,95,100,0,0,0,0,0,0,0,0,0
Plastic_Film,0.010353756,95,100,0,0,0,0,0,0,0,0,0
Plastic_Non_Recyclable,0.029585924,95,100,0,0,0,0,0,0,0,0,0
