Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
AnF_operation,AnF_operation,ophrsperday,Daily operating hours,8,hours,,,,,,,,
AnF_operation,AnF_operation,opdaysperyear,Annual operating days,260,days,,,,,,,,
AnF_operation,AnF_operation,isDried,Dried Anima Feed? (0=no; 1=yes),0,0/1,,,,,,,,
Material_Properties,Material_Properties,mc_DryAnF,Moisture Content of dry AnF,0.25,mass water/total mass,,,,,,,,
Material_Properties,Material_Properties,mc_WetAnF,Moisture Content of Wet AnF,0.7,mass water/total mass,,,,,,,,
Material_Properties,Material_Properties,Adtv_factor,Feed additive ratio,0.1586,ratio,,,,,,,[1],
Material_Properties,Material_Properties,mc_Adtv,additive moisture content,0.906,%WetMass,,,,,,,[1],
Loader,Loader,hpFEL,Front end loader use per facility capacity.,0.168,kW/Mgd,,,,,,,[1],
Loader,Loader,mfFEL,Front end loader specific fuel consumption.,0.26,L/kWh,,,,,,,[1],
Equipment:Conveyor,Eq_Conveyor,Calc_base,Mass Used in Resource Calculations,2,0/1/2 (Removed/Remaining/TotalThroughput),,,,,,,,
Equipment:Conveyor,Eq_Conveyor,Max_input,Max Throughput ,30,Mg/hr,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,frac_MaxInput,Fraction of Max Throughput ,0.85,frac,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,frac_motor,Fraction of Motor Rated Capacity Utilized,0.5,frac,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,motor,Motor Size,5.6,kW,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,diesel_use,Diesel Consumption ,0,L/Mg,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,LPG_use,LPG Consumption,0,m3/Mg,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,Investment_cost,Investment Cost,46258,$,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,Installation_cost,Installation Cost,4625.8,$,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,O&M,Fixed Operations and Maintenance Cost,10000,$/yr,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,N_Labor,Number of Laborers Required ,0,person,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,N_Driver,Number of Drivers Required,0,person,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,LifeTime,Economic Lifetime,10,yr,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,Calc_base,Mass Used in Resource Calculations,2,0/1/2 (Removed/Remaining/TotalThroughput),,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,Max_input,Max Throughput ,30,Mg/hr,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,frac_MaxInput,Fraction of Max Throughput ,1,frac,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,frac_motor,Fraction of Motor Rated Capacity Utilized,0.5,frac,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,motor,Motor Size,15,kW,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,diesel_use,Diesel Consumption ,0,L/Mg,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,LPG_use,LPG Consumption,0,m3/Mg,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,Investment_cost,Investment Cost,150000,$,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,Installation_cost,Installation Cost,15000,$,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,O&M,Fixed Operations and Maintenance Cost,100,$/yr,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,N_Labor,Number of Laborers Required ,0,person,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,N_Driver,Number of Drivers Required,0,person,,,,,,,,
Equipment:Drum Feeder,Eq_DFeeder,LifeTime,Economic Lifetime,10,yr,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,Calc_base,Mass Used in Resource Calculations,2,0/1/2 (Removed/Remaining/TotalThroughput),,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,Max_input,Max Throughput ,45,Mg/hr,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,frac_MaxInput,Fraction of Max Throughput ,0.85,frac,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,frac_motor,Fraction of Motor Rated Capacity Utilized,0.5,frac,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,motor,Motor Size,8.5,kW,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,diesel_use,Diesel Consumption ,0,L/Mg,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,LPG_use,LPG Consumption,0,m3/Mg,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,Investment_cost,Investment Cost,175000,$,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,Installation_cost,Installation Cost,17500,$,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,O&M,Fixed Operations and Maintenance Cost,10000,$/yr,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,N_Labor,Number of Laborers Required ,0,person,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,N_Driver,Number of Drivers Required,0,person,,,,,,,,
Equipment:Disc Screen 1,Eq_DS1,LifeTime,Economic Lifetime,10,yr,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,Calc_base,Mass Used in Resource Calculations,0,0/1/2 (Removed/Remaining/TotalThroughput),,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,Max_input,Max Throughput ,2,Mg/hr,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,frac_MaxInput,Fraction of Max Throughput ,0.85,frac,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,frac_motor,Fraction of Motor Rated Capacity Utilized,0.5,frac,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,motor,Motor Size,3,kW,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,diesel_use,Diesel Consumption ,0,L/Mg,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,LPG_use,LPG Consumption,0,m3/Mg,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,Investment_cost,Investment Cost,50000,$,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,Installation_cost,Installation Cost,5000,$,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,O&M,Fixed Operations and Maintenance Cost,0,$/yr,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,N_Labor,Number of Laborers Required ,35.7,person,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,N_Driver,Number of Drivers Required,0,person,,,,,,,,
Equipment:Disc Screen 1 Manual,Eq_DS1_Manual,LifeTime,Economic Lifetime,10,yr,,,,,,,,
shredding,shredding,Mtgp,Grinder power rating.,10.6,kWh/Mg,,,,,,,[1],
shredding,shredding,Mtgf,Grinder fuel consumption,0.25,L/kWh,,,,,,,[1],
Dewater,Dewater,elec_dw,Electricity Use,75,kWh/Mg TS throughput,,,,,,,[1],
Dewater,Dewater,ad_mcDigestate,Moisture Content of Solids Stream After Dewatering,0.76,mass water/total mass,,,,,,,[1],
Post_Screen,Post_Screen,ad_engScreen,Post-screen specific electricity consumption,0.000882,kWh/kg,,,,,,,[1],
Post_Screen,Post_Screen,ad_scrEff_WC,Proportion of wood chips remaining after post-screening,0.75,fraction,,,,,,,[1],
Economic_parameters,Economic_parameters,lifetime,Facility useful life,20,years,,,,,,,[1],
Economic_parameters,Economic_parameters,Inerest_rate,Annual Interest Rate,0.035,-,,,,,,,[1],
Economic_parameters,Economic_parameters,Unit_capital_cost,Capital Cost,669.28,$/design Mg per year,,,,,,,[1],
Electricity,Electricity,Area_rate,Indoor Floor Area Rate,24.38,m2/tpd,,,,,,,,
Electricity,Electricity,Frac_office,Percent Office Floor Area,0.04,frac of total m2,,,,,,,,
Electricity,Electricity,Elec_office,Electricity Consumed in Offices,0.51,kWh/m2-day,,,,,,,,
Electricity,Electricity,Elec_floor,Electricity Consumed on floor,0.02,kWh/m2-day,,,,,,,,
Contruction Cost,Constr_cost,Inerest_rate,Annual Interest Rate,0.035,-,,,,,,,,
Labor,Labor,Hr_shift,Paid Hours in Shift,9,hrs/shift,,,,,,,,
Labor,Labor,Shift_day,Number of Shifts Per Workday,2,shift/day,,,,,,,,
Labor,Labor,Day_year,Days Operating Per Year,260,days/year,,,,,,,,
Labor,Labor,Fringe_rate,Fringe Rate,0.3333,% of Pay Rate,,,,,,,,
Labor,Labor,Management_rate,Labor Management Rate,0.5,% of Labor,,,,,,,,
Labor,Labor,Labor_rate,Labor Pay Rate,10,$/Sorter-hr,,,,,,,,
Labor,Labor,Driver_rate,Driver Pay Rate,12,$/Driver-hr,,,,,,,,
