Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
COM_Collection,Col,comm_gen,Commercial Waste Generation Rate,1493,kg/location-week,,,,,,,,
COM_Collection,Col,comm_loc,Number of Commercial Collection Locations,1500,locations,,,,,,,,
COM_Collection,Col,CD,Number of working days a week,5,days/week,,,,,,,[12],
COM_Collection,Col,WV,Actual working hours a day,8,hours/vehicle-day,,,,,,,"[5, 11, 12]",
COM_Collection,Col,WP,Working hours a day for wage,8,hours/person-day,,,,,,,"[5, 11, 12]",
COM_Collection,Col,wt_lim,Is the route or truck subject to a weight limit?,0,0/1 (No/Yes),,,,,,,,
COM_Collection,Col,max_weight,Maximum permissible collected weight before unload,9,Mg/vehicle,,,,,,,,
COM_Collection,Col,F1_,Lunch time,30,min/day-vehicle,,,,,,,"[5, 11, 12]",
COM_Collection,Col,F1_idle,Is truck left idling during lunch?,1,0/1 (No/Yes),,,,,,,,
COM_Collection,Col,F2_,Break time,30,min/day-vehicle,,,,,,,"[5, 11, 12]",
COM_Collection,Col,F2_idle,Is truck left idling during break?,1,0/1 (No/Yes),,,,,,,,
COM_Collection,Col,bw,Worker backup rate,0.1,backup workers/coll. Workers,,,,,,,"[5, 6]",
COM_Collection,Col,bv,Backup rate for vehicles,0.1,backup vehicle/coll. Vehicle,,,,,,,"[5, 6]",
COM_Collection,Col,Lt,Economic life of a vehicle,10,year,,,,,,,"[5, 6]",
COM_Collection,Col,Ut,Utilization factor,0.8,max occupied yd3 / usable yd3,,,,,,,[5],
COM_Collection,Col,Vt,Usable vehicle capacity,40,yd3,,,,,,,"[5, 12]",
COM_Collection,Col,Fract_CNG,Fuel split: fraction of stops serviced by CNG vehicles,0,fraction,,,,,,,,
COM_Collection,Col,grg_area,Maint. area per collection vehicle ,37.2,m2/vehicle,,,,,,,"[5, 12]",
COM_Collection,Col,off_area,Office area per collection vehicle,1.86,m2/vehicle,,,,,,,"[5, 12]",
COM_Collection,Col,grg_enrg,Maint. area elec. consumption rate,0.01,kWh/day-m2,,,,,,,"[5, 12]",
COM_Collection,Col,off_enrg,Office area elec. consumption rate,0.02,kWh/day-m2,,,,,,,"[5, 12]",
COM_Collection,Col,Lb,Economic life of a container,10,year,,,,,,,"[5, 12]",
Speed,Speed,Vbet,Between collection stops   ,9,miles/hour,,,,,,,,
Speed,Speed,Vrf,From collection route to facility,55,miles/hour,,,,,,,,
Speed,Speed,Vgr,From garage to route in the morning,35,miles/hour,,,,,,,,
Speed,Speed,Vfg,From facility to garage,55,miles/hour,,,,,,,,
Col_Root,Col_Root,Drf,Distance btwn collection route and destination ,20,miles,,,,,,,,
Col_Root,Col_Root,fDrd,Fraction of route to destination which is HIGHWAY,0.5,fraction,,,,,,,,
Col_Root,Col_Root,Dfg,Distance between destination and garage,24,miles,,,,,,,,
Col_Root,Col_Root,fDfg,Fraction of destination to garage which is HIGHWAY,0.5,fraction,,,,,,,,
Col_Root,Col_Root,Dbtw,Distance between service stops,0.03,miles,,,,,,,,
Col_Root,Col_Root,Dgr,Distance btwn garage and collection route,4,miles,,,,,,,,
Col_Root,Col_Root,fDgr,Fraction of distance btwn garage and collection route which is HIGHWAY,0,fraction,,,,,,,,
Mpg,Mpg,MPG_all_CNG,CNG Average fuel usage                     ,0,miles/diesel gal equivalent,,,,,,,,"Average fuel economy Enter the overall average fuel economy. This overrides the fuel usage rates by mode (during driving, during collection, While idling/dropping off). Enter ""0"" (zero) if you want to specify the fuel economies for each mode rather than using the average. "
Mpg,Mpg,MPG_urban_CNG,CNG during urban driving,5,miles/diesel gal equivalent,,,,,,,,
Mpg,Mpg,MPG_hwy_CNG,CNG during highway driving ,5,miles/diesel gal equivalent,,,,,,,,
Mpg,Mpg,MPG_col_CNG,CNG during collection,2,miles/diesel gal equivalent,,,,,,,,
Mpg,Mpg,GPH_idle_CNG,CNG While idling /dropping off waste,1,diesel gal euqivalent/hour,,,,,,,,
Mpg,Mpg,MPG_all,Diesel Average fuel usage,0,miles/gal,,,,,,,,"Enter the overall average fuel economy. This overrides the fuel usage rates by mode (during driving, during collection, While idling/dropping off). Enter ""0"" (zero) if you want to specify the fuel economies for each mode rather than using the average. "
Mpg,Mpg,MPG_urban,Diesel during urban driving,5,miles/gal,,,,,,,"[11, 12]",
Mpg,Mpg,MPG_highway,Diesel during highway driving,5,miles/gal,,,,,,,"[11, 12]",
Mpg,Mpg,MPG_collection,Diesel during collection,2,miles/gal,,,,,,,"[11, 12]",
Mpg,Mpg,GPH_idle_cv,Diesel While idling /dropping off waste,1,gal/hour,,,,,,,"[11, 12]",
DropOff,DropOff,RTDdos,Roundtrip distance to drop-off site,10,miles,,,,,,,,
