Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Op_param,Op_param,Taod,Annual operating days,260,days/year,,,,,,,,
Op_param,Op_param,comp_cap,composter capacity,2.57,kg OFMSW/day,,,,,,,,
Degradation parameters,Degradation_param,initMC,Minimum initial moisture content,0.55,None,,,,,,,,
Degradation parameters,Degradation_param,MCac,Moisture content after active composting,0.5,None,,,,,,,,
Degradation parameters,Degradation_param,acDegProp,Proportion of mass loss that occurs during active composting,90,%,,,,,,,,
Degradation parameters,Degradation_param,pCasCH4,Proportion of emitted C emitted as CH4,0.019,None,,,,,,,,
Degradation parameters,Degradation_param,pCasCO,Proportion of emitted C emitted as CO,0.0006,None,,,,,,,,
Degradation parameters,Degradation_param,pNasNH3,Proportion of emitted N emitted as NH3,0.04,None,,,,,,,,
Degradation parameters,Degradation_param,pNasN2O,Proportion of emitted N emitted as N2O,0.02475,None,,,,,,,,
Material_Properties,Material_Properties,densFC,Density of final compost,700,kg/m3,,,,,,,,
Compost_use,Compost_use,choice_BU,Offset Beneficial Use of Compost? (0=no; 1=yes),1,None,,,,,,,,
Compost_use,Compost_use,peatOff,Soil amendment offset peat (1) or no (0),1,None,,,,,,,,
Compost_use,Compost_use,fertOff,Soil amendment offset fertilizer (1) or no (0),1,None,,,,,,,,
Economic_parameters,Economic_parameters,Inerest_rate,Annual Interest Rate,0.035,-,,,,,,,,
Economic_parameters,Economic_parameters,lifetime,Composter useful life,12,years,,,,,,,,
Economic_parameters,Economic_parameters,comp_cost,Composter cost,100,$,,,,,,,,
