key,name,categories,value,unit
"('biosphere3', 'b00950bc-99cb-4ee2-bbc0-5f878ea170c3')",Sulfur trioxide,"('air', 'urban air close to ground')",0.8,kg SO2 eq
"('biosphere3', '48430c70-95e0-4036-9854-72cc772ac8b2')",Sulfur trioxide,"('air', 'non-urban air or from high stacks')",0.8,kg SO2 eq
"('biosphere3', 'aeb3e625-906a-4993-9f02-785f8cfd1ea5')",Sulfur trioxide,"('air', 'lower stratosphere + upper troposphere')",0.8,kg SO2 eq
"('biosphere3', '3268d8df-59cc-4740-a89f-dee8355ad7c3')",Sulfur trioxide,"('air',)",0.8,kg SO2 eq
"('biosphere3', '13825fb9-6e24-409a-bfcd-5dc4fd61ef98')",Sulfur trioxide,"('air', 'low population density, long-term')",0.8,kg SO2 eq
"('biosphere3', '7ecc2b66-8dde-4266-8832-f492f564377b')",Sulfuric acid,"('air', 'urban air close to ground')",0.65,kg SO2 eq
"('biosphere3', '99c65c6a-6871-40ba-af79-5bd6851688e4')",Sulfuric acid,"('air',)",0.65,kg SO2 eq
"('biosphere3', '5c9d8310-f7e1-4e98-8e73-7eece0435676')",Sulfuric acid,"('air', 'non-urban air or from high stacks')",0.65,kg SO2 eq
"('biosphere3', '51f0e6bf-5824-4247-a0f0-7766035da159')",Sulfuric acid,"('air', 'low population density, long-term')",0.65,kg SO2 eq
"('biosphere3', '3caec0e2-2d07-4463-abae-bef6a0d4bbdb')",Sulfuric acid,"('air', 'lower stratosphere + upper troposphere')",0.65,kg SO2 eq
"('biosphere3', 'ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd')",Sulfur oxides,"('air',)",1,kg SO2 eq
"('biosphere3', '6ce44f77-d181-4396-8fa2-2276eeeb4c08')",Sulfur dioxide,"('air', 'low population density, long-term')",1,kg SO2 eq
"('biosphere3', '16521d00-4b6f-464f-b5dd-8da4a27b15ca')",Sulfur dioxide,"('air', 'lower stratosphere + upper troposphere')",1,kg SO2 eq
"('biosphere3', '8c52f40c-69b7-4538-8923-b371523c71f5')",Sulfur dioxide,"('air', 'urban air close to ground')",1,kg SO2 eq
"('biosphere3', '78c3efe4-421c-4d30-82e4-b97ac5124993')",Sulfur dioxide,"('air', 'non-urban air or from high stacks')",1,kg SO2 eq
"('biosphere3', 'fd7aa71c-508c-480d-81a6-8052aad92646')",Sulfur dioxide,"('air',)",1,kg SO2 eq
"('biosphere3', '5d0058e0-ad1b-4c15-b0ff-a665bb04154f')",Phosphoric acid,"('air', 'urban air close to ground')",0.98,kg SO2 eq
"('biosphere3', '2257e9f9-f38c-494b-b99f-f49b4768b4b9')",Phosphoric acid,"('air',)",0.98,kg SO2 eq
"('biosphere3', 'b0c3054b-6d71-42b1-8575-704c4d049180')",Phosphoric acid,"('air', 'non-urban air or from high stacks')",0.98,kg SO2 eq
"('biosphere3', '13d2fabe-9282-4905-9dfc-5c859022835c')",Phosphoric acid,"('air', 'lower stratosphere + upper troposphere')",0.98,kg SO2 eq
"('biosphere3', 'bcac684a-8868-4cd3-9063-3275dc831f91')",Phosphoric acid,"('air', 'low population density, long-term')",0.98,kg SO2 eq
"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",0.7,kg SO2 eq
"('biosphere3', 'c1b91234-6f24-417b-8309-46111d09c457')",Nitrogen oxides,"('air',)",0.7,kg SO2 eq
"('biosphere3', 'd068f3e2-b033-417b-a359-ca4f25da9731')",Nitrogen oxides,"('air', 'urban air close to ground')",0.7,kg SO2 eq
"('biosphere3', '9115356e-a534-4329-9ec6-d9208720241b')",Nitrogen oxides,"('air', 'low population density, long-term')",0.7,kg SO2 eq
"('biosphere3', '4841a0fe-c250-4a39-94a1-1bc31426c0f1')",Nitrogen oxides,"('air', 'lower stratosphere + upper troposphere')",0.7,kg SO2 eq
"('biosphere3', '17f7e776-7934-54af-8c3c-ed0247cb697b')",Nitric oxide,"('air',)",1.07,kg SO2 eq
"('biosphere3', 'e3cfaa07-9b68-4461-a06f-a0e4e59d41d3')",Hydrogen sulfide,"('air', 'urban air close to ground')",1.88,kg SO2 eq
"('biosphere3', '59281544-7c5a-4101-a972-10118e8df6aa')",Hydrogen sulfide,"('air', 'lower stratosphere + upper troposphere')",1.88,kg SO2 eq
"('biosphere3', '20d4d821-f4f7-4017-8810-f822fcdf619e')",Hydrogen sulfide,"('air',)",1.88,kg SO2 eq
"('biosphere3', '0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358')",Hydrogen sulfide,"('air', 'non-urban air or from high stacks')",1.88,kg SO2 eq
"('biosphere3', 'a2d4ebed-c96c-47c9-b469-018dd1ae58ce')",Hydrogen sulfide,"('air', 'low population density, long-term')",1.88,kg SO2 eq
"('biosphere3', 'ac15536a-92f5-48d7-9560-cba0ca43b526')",Hydrogen fluoride,"('air', 'low population density, long-term')",1.6,kg SO2 eq
