key,name,categories,value,unit
"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')",Ammonia,"('air', 'non-urban air or from high stacks')",0.119,
"('biosphere3', '87883a4e-1e3e-4c9d-90c0-f1bea36f8014')",Ammonia,"('air',)",0.119,
"('biosphere3', '9990b51b-7023-4700-bca0-1a32ef921f74')",Ammonia,"('air', 'urban air close to ground')",0.119,
"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",0.0443,
"('biosphere3', 'c1b91234-6f24-417b-8309-46111d09c457')",Nitrogen oxides,"('air',)",0.0443,
"('biosphere3', 'd068f3e2-b033-417b-a359-ca4f25da9731')",Nitrogen oxides,"('air', 'urban air close to ground')",0.0443,
"('biosphere3', 'e2d35af7-9806-46ff-9b75-b124a48fa5a1')",Phosphorus,"('air', 'low population density, long-term')",1.12,
"('biosphere3', 'ea4e9316-5080-4b3b-bbf3-1949f6d7577a')",Phosphorus,"('air', 'non-urban air or from high stacks')",1.12,
"('biosphere3', 'd761f94e-517d-41cf-89fa-17dc72f7a69b')",Phosphorus,"('air',)",1.12,
"('biosphere3', '198ce8e3-f05a-4bec-9f7f-325347453326')",Phosphorus,"('air', 'urban air close to ground')",1.12,
"('biosphere3', '736f52e8-9703-4076-8909-7ae80a7f8005')","Ammonium, ion","('water', 'ground-')",0.779,
"('biosphere3', '130cedc6-f6ed-4f1b-bd1e-881177f79e74')","Ammonium, ion","('water', 'ground-, long-term')",0.779,
"('biosphere3', 'bc069d24-fbbd-4c05-8b6e-4089dc8249ae')","Ammonium, ion","('water', 'ocean')",0.779,
"('biosphere3', '13331e67-6006-48c4-bdb4-340c12010036')","Ammonium, ion","('water', 'surface water')",0.779,
"('biosphere3', 'fb005c47-7b90-41f3-a5ca-f0eb11db354a')","Ammonium, ion","('water',)",0.779,
"('biosphere3', '57c27ba7-a61a-4932-8cd5-095c88ff0245')","BOD5, Biological Oxygen Demand","('water', 'ground-')",0.05,
"('biosphere3', 'aedea697-930a-4a0e-9e4f-b9c369aa9a33')","BOD5, Biological Oxygen Demand","('water', 'ground-, long-term')",0.05,
"('biosphere3', 'f012d2d5-ebb4-4531-8285-0b98af3dcbd4')","BOD5, Biological Oxygen Demand","('water', 'ocean')",0.05,
"('biosphere3', '70d467b6-115e-43c5-add2-441de9411348')","BOD5, Biological Oxygen Demand","('water', 'surface water')",0.05,
"('biosphere3', '91955aba-6ebc-4413-9342-f0298860b4aa')","BOD5, Biological Oxygen Demand","('water',)",0.05,
"('biosphere3', 'be10dd54-eb4d-48ae-9e14-7d79ce8b170d')","COD, Chemical Oxygen Demand","('water', 'ground-')",0.05,
"('biosphere3', 'a8fea8cf-9b09-49fc-aa58-5a732494a2a0')","COD, Chemical Oxygen Demand","('water', 'ground-, long-term')",0.05,
"('biosphere3', 'ec76fb5c-b402-416b-825c-53e074fe7525')","COD, Chemical Oxygen Demand","('water', 'ocean')",0.05,
"('biosphere3', 'fc0b5c85-3b49-42c2-a3fd-db7e57b696e3')","COD, Chemical Oxygen Demand","('water', 'surface water')",0.05,
"('biosphere3', '961ccd56-2eee-4f57-bb18-fc4362b49000')","COD, Chemical Oxygen Demand","('water',)",0.05,
"('biosphere3', 'b9291c72-4b1d-4275-8068-4c707dc3ce33')",Nitrate,"('water', 'ground-')",0.237,
"('biosphere3', 'b61057a3-a0bc-4158-882e-b819c4797419')",Nitrate,"('water', 'ground-, long-term')",0.237,
"('biosphere3', '43c700bb-0b3b-4fb1-8bd1-3d1da82b6844')",Nitrate,"('water', 'ocean')",0.237,
"('biosphere3', '7ce56135-2ca5-4fba-ad52-d62a34bfeb35')",Nitrate,"('water', 'surface water')",0.237,
"('biosphere3', '5189de76-6bbb-44ba-8c42-5714f1b4371f')",Nitrate,"('water',)",0.237,
"('biosphere3', '0c150bb4-fd1a-43f8-b6c9-5dfda8dadb6c')",Nitrogen,"('water', 'ground-')",0.986,
"('biosphere3', '996829cc-2d40-418a-beda-7c50399952f9')",Nitrogen,"('water', 'ocean')",0.986,
"('biosphere3', 'ae70ca6c-807a-482b-9ddc-e449b4893fe3')",Nitrogen,"('water', 'surface water')",0.986,
"('biosphere3', 'dcfe0815-6fa3-4e1d-a55e-155b29904f1d')",Nitrogen,"('water',)",0.986,
"('biosphere3', '329fc7d8-4011-4327-84e4-34ff76f0e42d')",Phosphate,"('water', 'ground-')",2.38,
"('biosphere3', '490b267b-f429-4d9a-ac79-224e37fb4d58')",Phosphate,"('water', 'ground-, long-term')",2.38,
"('biosphere3', '3aaf9017-0d8a-42aa-9a60-cbc39e994e73')",Phosphate,"('water', 'ocean')",2.38,
"('biosphere3', '1727b41d-377e-43cd-bc01-9eaba946eccb')",Phosphate,"('water', 'surface water')",2.38,
"('biosphere3', 'c8791f3c-3c4a-4278-91c0-483797d14da2')",Phosphate,"('water',)",2.38,
"('biosphere3', 'b1fca66f-8e83-469a-a7b5-018e14d5d545')",Phosphorus,"('water', 'ground-')",7.29,
"('biosphere3', '62f3d964-9b53-4d01-9ee0-04112dcfc6d2')",Phosphorus,"('water', 'ocean')",7.29,
"('biosphere3', 'b2631209-8374-431e-b7d5-56c96c6b6d79')",Phosphorus,"('water', 'surface water')",7.29,
"('biosphere3', '2d4b8ec1-8d53-4e62-8a11-ebc45909b02e')",Phosphorus,"('water',)",7.29,
