key,name,categories,value,unit
"('biosphere3', '541a823c-0aad-4dc4-9123-d4af4647d942')",1-Pentanol,"('air', 'urban air close to ground')",2.827076923,kg O3 eq
"('biosphere3', '8cbaa905-41b0-4327-8403-bf1c8eb25429')",1-Pentene,"('air', 'urban air close to ground')",7.207435897,kg O3 eq
"('biosphere3', 'd5649872-502b-4d23-b882-26d74a9fc4b4')",2-Methyl pentane,"('air', 'urban air close to ground')",1.502284615,kg O3 eq
"('biosphere3', 'e2d860e3-1038-4386-a5f1-25ad75d18bbd')",2-Methyl-1-propanol,"('air', 'urban air close to ground')",2.508666667,kg O3 eq
"('biosphere3', '79a87f98-0b00-4e7e-86f8-70667307f696')",2-Methyl-2-butene,"('air', 'urban air close to ground')",14.08402564,kg O3 eq
"('biosphere3', 'cbf58f64-9286-406f-8dcb-ef1d81eec980')",2-Propanol,"('air', 'urban air close to ground')",0.614205128,kg O3 eq
"('biosphere3', '9fbec2f4-6b42-4e63-9573-14e04befe20f')",4-Methyl-2-pentanone,"('air', 'urban air close to ground')",3.880794872,kg O3 eq
"('biosphere3', 'fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1')",Acetaldehyde,"('air', 'non-urban air or from high stacks')",6.539230769,kg O3 eq
"('biosphere3', 'e3e8f6a2-c45e-4685-9859-698b2eadaf5b')",Acetaldehyde,"('air',)",6.539230769,kg O3 eq
"('biosphere3', '5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f')",Acetaldehyde,"('air', 'urban air close to ground')",6.539230769,kg O3 eq
"('biosphere3', 'c5cc0625-6e01-4639-b053-5d1d9d22a53c')",Acetic acid,"('air', 'non-urban air or from high stacks')",0.684871795,kg O3 eq
"('biosphere3', 'd157416d-db9b-4f88-a7f3-a9a5f1ea88f2')",Acetic acid,"('air',)",0.684871795,kg O3 eq
"('biosphere3', 'b9b68c0c-053e-41de-ab72-8dfe1c3f5755')",Acetic acid,"('air', 'urban air close to ground')",0.684871795,kg O3 eq
"('biosphere3', '7a2d7097-20c4-4b5f-b2ee-bcfc2ba1378f')",Acetone,"('air', 'non-urban air or from high stacks')",0.355910256,kg O3 eq
"('biosphere3', 'f3d5fd96-8805-4d3d-867a-5df27975b07f')",Acetone,"('air',)",0.355910256,kg O3 eq
"('biosphere3', '1f130425-11f9-4ec2-8d2f-d282acaacf5c')",Acetone,"('air', 'urban air close to ground')",0.355910256,kg O3 eq
"('biosphere3', '12840cef-c3b8-4ef2-b7d4-3a73dbd6a280')",Acrolein,"('air', 'non-urban air or from high stacks')",7.450692308,kg O3 eq
"('biosphere3', 'd896ced7-a107-4017-b284-d95a8ef3e735')",Acrolein,"('air',)",7.450692308,kg O3 eq
"('biosphere3', '7ed6dc0d-9c2e-4046-a44b-e8a708c2081e')",Acrolein,"('air', 'urban air close to ground')",7.450692308,kg O3 eq
"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')",Benzene,"('air', 'non-urban air or from high stacks')",0.720728205,kg O3 eq
