Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Energy Recovery Costs,Eng_rec_cost,capital,Capital Cost,1400,$/kW,,,,,,,[10],
Energy Recovery Costs,Eng_rec_cost,O&M,O&M Cost,130,$/MW,,,,,,,[10],
Energy Recovery Costs,Eng_rec_cost,Life,Life of Engine,20,years,,,,,,,[10],
Energy Recovery Costs,Eng_rec_cost,engineCap,Engine capacity per Mgpd,5,kW/Mgpd,,,,,,,[10],
Landfill operation parameteres,LF_Op,annWaste,Annual waste acceptance rate,233091,Mg/year,,,,,,,[10],"stDev=276,465   "
Landfill operation parameteres,LF_Op,optime,Landfill Operation time,80,years,,,,,,,[10],stDev=66
Landfill Gas Parameters,LFG_param,actk,Landfill decay rate,0.04,1/yr,,,,,,,[10],
Landfill Gas Parameters,LFG_param,base_L0,Base L0  (Methane yield),100,m3 CH4/Mg,,,,,,,[10],
Landfill Gas Parameters,LFG_param,ch4prop,CH4 fraction in Biogas,0.5,fraction,,,,,,,[10],
Landfill Gas Parameters,LFG_param,LFG_col_plan,Gas collection scenario,0,"(0: Typical, 1: Best, 2:Worst, 3:California)",,,,,,,[10],
Landfill Gas Parameters,LFG_param,initColEff,Initial gas collection efficiency,50,%,,,,,,,[10],
Landfill Gas Parameters,LFG_param,intColEff,Gas collection efficiency under intermediate cover,75,%,,,,,,,[10],80% for California
Landfill Gas Parameters,LFG_param,incColEff,Increased gas collection efficiency,82.5,%,,,,,,,[10],85% for California
Landfill Gas Parameters,LFG_param,finColEff,Gas collection efficiency under final cover,90,%,,,,,,,[10],
Energy_Rec,Energy_Rec,enrgRecovered,Recover energy ,1,0/1,,,,,,,[10],
Energy_Rec,Energy_Rec,MinFowRec,Min LFG flow for energy recovery,350,cfm,,,,,,,[10],
Energy_Rec,Energy_Rec,MinYrRec,Min energy recovery operation time,5,years,,,,,,,[10],
Energy_Rec,Energy_Rec,RecInstallTime,Time to install energy recovery system,1,years,,,,,,,[10],
Energy_Rec,Energy_Rec,EnrgRecDownTime,Energy recovery downtime ,3,%,,,,,,,[10],
