,Comp,RWC,SSR,DSR,MSR,SSYW,SSO,REC,WetRes,ORG,DryRes,MSRDO,Bulk_Density
Description,Comp,RWC,SSR,DSR,MSR,SSYW,SSO,REC,WetRes,ORG,DryRes,MSRDO,Bulk_Density
Unit,Mg component/Mg,,,,,,,,,,,,kg/m3
Source,,,,,,,,,,,,,
Yard_Trimmings_Leaves,0.0116,1,0,0,0,0.95,0.95,0,1,0.95,1,0,500
Yard_Trimmings_Grass,0.029,1,0,0,0,0.95,0.95,0,1,0.95,1,0,500
Yard_Trimmings_Branches,0.0174,1,0,0,0,0.95,0.95,0,1,0.95,1,0,500
Food_Waste_Vegetable,0.1156,1,0,0,0,0,0.6,0,1,0.6,1,0,500
Food_Waste_Non_Vegetable,0.0578,1,0,0,0,0,0.6,0,1,0.6,1,0,500
Wood,0.004,1,0,0,0,0,0,0,1,0,1,0,500
Wood_Other,0.004,1,0,0,0,0,0,0,1,0,1,0,500
Textiles,0.0576,1,0,0,0,0,0,0,1,0,1,0,300
Rubber_Leather,0,1,0,0,0,0,0,0,1,0,1,0,300
Newsprint,0.0599,1,0.9,0.9,0.9,0,0,0.9,1,0,1,0.9,431
Corr_Cardboard,0.1006,1,0.9,0.9,0.9,0,0,0.9,1,0,1,0.9,431
Office_Paper,0,1,0.9,0.9,0.9,0,0,0.9,1,0,1,0.9,431
Magazines,0,1,0.8,0.8,0.8,0,0,0.8,1,0,1,0.8,431
Third_Class_Mail,0,1,0.8,0.8,0.8,0,0,0.8,1,0,1,0.8,431
Folding_Containers,0.0036,1,0.7,0.7,0.7,0,0,0.7,1,0,1,0.7,431
Paper_Bags,0,1,0.7,0.7,0.7,0,0,0.7,1,0,1,0.7,431
Mixed_Paper,0.1379,1,0.7,0.7,0.7,0,0,0.7,1,0,1,0.7,431
Paper_Non_recyclable,0.0702,1,0,0,0,0,0,0,1,0,1,0,431
HDPE_Translucent_Containers,0.0049,1,0.4,0.4,0.4,0,0,0.4,1,0,1,0.4,116
HDPE_Pigmented_Containers,0.0061,1,0.4,0.4,0.4,0,0,0.4,1,0,1,0.4,116
PET_Containers,0.0265,1,0.4,0.4,0.4,0,0,0.4,1,0,1,0.4,116
Plastic_Other_1_Polypropylene,0,1,0,0,0,0,0,0,1,0,1,0,116
Plastic_Other_2,0,1,0,0,0,0,0,0,1,0,1,0,116
Mixed_Plastic,0,1,0,0,0,0,0,0,1,0,1,0,116
Plastic_Film,0.0486,1,0.2,0.2,0.2,0,0,0.2,1,0,1,0.2,116
Plastic_Non_Recyclable,0.0496,1,0,0,0,0,0,0,1,0,1,0,116
Ferrous_Cans,0.0116,1,0.97,0.97,0.97,0,0,0.97,1,0,1,0.97,58
Ferrous_Metal_Other,0.0101,1,0.2,0.2,0.2,0,0,0.2,1,0,1,0.2,58
Aluminum_Cans,0.0093,1,0.7,0.7,0.7,0,0,0.7,1,0,1,0.7,58
Aluminum_Foil,0.0002,1,0.2,0.2,0.2,0,0,0.2,1,0,1,0.2,58
Aluminum_Other,0.0063,1,0.2,0.2,0.2,0,0,0.2,1,0,1,0.2,58
Ferrous_Non_recyclable,0.0016,1,0,0,0,0,0,0,1,0,1,0,58
Al_Non_recyclable,0.0024,1,0,0,0,0,0,0,1,0,1,0,58
Glass_Brown,0.0112,1,0.5,0.5,0.5,0,0,0.5,1,0,1,0.5,456
Glass_Green,0.0112,1,0.5,0.5,0.5,0,0,0.5,1,0,1,0.5,456
Glass_Clear,0.0112,1,0.5,0.5,0.5,0,0,0.5,1,0,1,0.5,456
Mixed_Glass,0.0072,1,0.5,0.5,0.5,0,0,0.5,1,0,1,0.5,456
Glass_Non_recyclable,0.0112,1,0,0,0,0,0,0,1,0,1,0,456
Misc_Organic,0.0376,1,0,0,0,0,0,0,1,0,1,0,500
Misc_Inorganic,0.0295,1,0,0,0,0,0,0,1,0,1,0,300
E_waste,0.0072,1,0,0,0,0,0,0,1,0,1,0,300
Bottom_Ash,0,1,0,0,0,0,0,0,1,0,1,0,0
Fly_Ash,0,1,0,0,0,0,0,0,1,0,1,0,0
Diapers_and_sanitary_products,0.0273,1,0,0,0,0,0,0,1,0,1,0,0
