Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Products,Products,Sep_org,"Separate organics? If No, mix organics with RDF",0,0/1(No/Yes),,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,Calc_base,Mass Used in Resource Calculations,0,0/1/2 (Removed/Remaining/TotalThroughput),,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,Max_input,Max Throughput ,12,Mg/hr,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,frac_MaxInput,Fraction of Max Throughput ,0.85,frac,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,frac_motor,Fraction of Motor Rated Capacity Utilized,0.5,frac,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,motor,Motor Size,9,kW,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,diesel_use,Diesel Consumption ,0,L/Mg,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,LPG_use,LPG Consumption,0,m3/Mg,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,Investment_cost,Investment Cost,128000,$,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,Installation_cost,Installation Cost,12800,$,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,N_Labor,Number of Laborers Required ,0,person,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,N_Driver,Number of Drivers Required,0,person,,,,,,,,
Equipment:Eddy Current Separator,Eq_ECS,LifeTime,Economic Lifetime,10,yr,,,,,,,,
Equipment:Magnet,Eq_Magnet,Calc_base,Mass Used in Resource Calculations,0,0/1/2 (Removed/Remaining/TotalThroughput),,,,,,,,
Equipment:Magnet,Eq_Magnet,Max_input,Max Throughput ,2,Mg/hr,,,,,,,,
Equipment:Magnet,Eq_Magnet,frac_MaxInput,Fraction of Max Throughput ,0.85,frac,,,,,,,,
Equipment:Magnet,Eq_Magnet,frac_motor,Fraction of Motor Rated Capacity Utilized,0.5,frac,,,,,,,,
Equipment:Magnet,Eq_Magnet,motor,Motor Size,4,kW,,,,,,,,
Equipment:Magnet,Eq_Magnet,diesel_use,Diesel Consumption ,0,L/Mg,,,,,,,,
Equipment:Magnet,Eq_Magnet,LPG_use,LPG Consumption,0,m3/Mg,,,,,,,,
Equipment:Magnet,Eq_Magnet,Investment_cost,Investment Cost,35000,$,,,,,,,,
Equipment:Magnet,Eq_Magnet,Installation_cost,Installation Cost,3500,$,,,,,,,,
Equipment:Magnet,Eq_Magnet,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,,,,,,,,
Equipment:Magnet,Eq_Magnet,N_Labor,Number of Laborers Required ,0,person,,,,,,,,
Equipment:Magnet,Eq_Magnet,N_Driver,Number of Drivers Required,0,person,,,,,,,,
Equipment:Magnet,Eq_Magnet,LifeTime,Economic Lifetime,10,yr,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,Calc_base,Mass Used in Resource Calculations,2,0/1/2 (Removed/Remaining/TotalThroughput),,,,,,,,
Equipment:Conveyor,Eq_Conveyor,Max_input,Max Throughput ,30,Mg/hr,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,frac_MaxInput,Fraction of Max Throughput ,0.85,frac,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,frac_motor,Fraction of Motor Rated Capacity Utilized,0.5,frac,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,motor,Motor Size,5.6,kW,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,diesel_use,Diesel Consumption ,0,L/Mg,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,LPG_use,LPG Consumption,0,m3/Mg,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,Investment_cost,Investment Cost,46258,$,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,Installation_cost,Installation Cost,4625.8,$,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,O&M,Fixed Operations and Maintenance Cost,10000,$/yr,,,,,,,,
Equipment:Conveyor,Eq_Conveyor,N_Labor,Number of Laborers Required ,0,person,,,,,,,,
