,Trommel,Negative Sort,Air Separator,Magnet,Optical Sorter,ECS,Positive Sort,Densimetric Table
Name,,,,,,,,
Unit,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction
Source,,,,,,,,
Yard_Trimmings_Leaves,0.85,,,,,,,
Yard_Trimmings_Grass,0.85,,0.9,,,,,
Yard_Trimmings_Branches,0.1,,0.9,,,,0.8,
Food_Waste_Vegetable,0.85,,0.9,,,,,
Food_Waste_Non_Vegetable,0.85,,0.6,,,,,
Wood,0.05,,0.9,,,,0.8,
Wood_Other,0.05,,0.9,,,,0.8,
Textiles,0.05,,,,,,,
Rubber_Leather,0.05,,0.9,,,,,
Newsprint,,,,,,,0.8,
Corr_Cardboard,,,,,,,0.8,
Office_Paper,,,,,,,0.8,
Magazines,,,,,,,0.8,
Third_Class_Mail,,,,,,,0.8,
Folding_Containers,,,,,,,0.8,
Paper_Bags,,,,,,,0.8,
Mixed_Paper,,,,,,,0.8,
Paper_Non_recyclable,,,,,,,0.8,
HDPE_Translucent_Containers,,,,,,,0.8,
HDPE_Pigmented_Containers,,,,,,,0.8,
PET_Containers,,,,,,,0.8,
Plastic_Other_1_Polypropylene,0.05,,,,,,0.8,
Plastic_Other_2,0.05,,,,,,0.8,
Mixed_Plastic,,,,,,,0.8,
Plastic_Film,0.05,,,,,,0.8,
Plastic_Non_Recyclable,,,,,,,0.8,
Ferrous_Cans,,,0.9,0.95,0.98,,,
Ferrous_Metal_Other,,,0.9,0.95,0.98,,,
Aluminum_Cans,,,0.9,,0.98,0.9,,
Aluminum_Foil,,,0.9,,0.98,0.9,,
Aluminum_Other,,,0.9,,0.98,0.9,,
Ferrous_Non_recyclable,,,0.9,,,,,
Al_Non_recyclable,,,0.9,,,,,
Glass_Brown,0.1,,1,,,,,1
Glass_Green,0.1,,1,,,,,1
Glass_Clear,0.1,,1,,,,,1
Mixed_Glass,0.1,,1,,,,,1
Glass_Non_recyclable,0.1,,1,,,,,1
Misc_Organic,0.8,,1,,,,,
Misc_Inorganic,0.2,,1,,,,,1
E_waste,,,1,,,,,
Bottom_Ash,,,,,,,,
Fly_Ash,,,,,,,,
Diapers_and_sanitary_products,0.8,,1,,,,,
