Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
OCC,OCC,"('Technosphere', 'Industrial_Residual_Disposal')",,-0.003,Mg,,,,,,,,
OCC,OCC,"('Technosphere', 'Industrial_Wastewater_Treatment')",,-0.622,Mg,,,,,,,,
OCC,OCC,"('Technosphere', 'Electricity_consumption')",Electricity_consumption,242.03,kWh,,,,,,,,
OCC,OCC,"('Technosphere', 'Equipment_Diesel')",Equipment_Diesel,-7.45,L,,,,,,,,
OCC,OCC,"('Technosphere', 'Equipment_Gasoline')",Equipment_Gasoline,-0.01,L,,,,,,,,
OCC,OCC,"('Technosphere', 'Equipment_LPG')",Equipment_LPG,0.22,L,,,,,,,,
OCC,OCC,"('Technosphere', 'Equipment_CNG')",Equipment_CNG,-21,-,,,,,,,,
OCC,OCC,"('Technosphere', 'Equipment_Residual_Fuel_Oil')",Equipment_Residual_Fuel_Oil,-1.52,L,,,,,,,,
OCC,OCC,"('Technosphere', 'Internal_Process_Transportation_Heavy_Duty_Diesel_Truck')",Internal_Process_Transportation_Heavy_Duty_Diesel_Truck,-248856,kgkm,,,,,,,,
OCC,OCC,"('Technosphere', 'Internal_Process_Transportation_Medium_Duty_Diesel_Truck')",Internal_Process_Transportation_Medium_Duty_Diesel_Truck,-248856,kgkm,,,,,,,,
OCC,OCC,"('Technosphere', 'Internal_Process_Transportation_Barge')",Internal_Process_Transportation_Barge,-6180,kgkm,,,,,,,,
OCC,OCC,"('Technosphere', 'Internal_Process_Transportation_Cargo_Ship')",Internal_Process_Transportation_Cargo_Ship,-9,kgkm,,,,,,,,
OCC,OCC,"('Technosphere', 'Internal_Process_Transportation_Rail')",Internal_Process_Transportation_Rail,-291711,kgkm,,,,,,,,
OCC,OCC,"('biosphere3', 'Operational_Cost')",Amortized Operating Cost,-121,$,,,,,,,,
OCC,OCC,"('biosphere3', '06f0a67c-ec68-435d-8c32-0decd79a4a1a')","Aldehydes, unspecified ('air',)",-0.00747,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '87883a4e-1e3e-4c9d-90c0-f1bea36f8014')","Ammonia ('air',)",-0.0738,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '349b29d1-3e58-4c66-98b9-9d1a076efd2e')","Carbon dioxide, fossil ('air',)",-5.51,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'ba2f3f82-c93a-47a5-822a-37ec97495275')","Carbon monoxide, fossil ('air',)",-5.23,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'f9abb851-8731-4c5b-b057-863996a1f94a')","Hydrocarbons, unspecified ('air', 'non-urban air or from high stacks')",-0.0042,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '71234253-b3a7-4dfe-b166-a484ad15bee7')","Mercury ('air',)",-6.54E-05,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'c1b91234-6f24-417b-8309-46111d09c457')","Nitrogen oxides ('air',)",-4.47,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '66020d27-7ae4-4e59-83a3-89214b72c40a')","Particulates, > 10 um ('air',)",-1.15,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'ca828b6a-5c31-4cce-941e-cc7c1900e6fe')","Radioactive species, other beta emitters ('air', 'non-urban air or from high stacks')",-0.000154,kilo Becquerel,,,,,,,,
OCC,OCC,"('biosphere3', 'ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd')","Sulfur oxides ('air',)",-7.57,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '99c65c6a-6871-40ba-af79-5bd6851688e4')","Sulfuric acid ('air',)",-0.0369,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'b37294bd-947d-4f35-b9e6-3eb259c05ff5')","Acidity, unspecified ('water',)",-0.00117,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '7880e65c-0321-4295-ba55-3186ad36e489')","Aluminium ('water',)",0.0934,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'fb005c47-7b90-41f3-a5ca-f0eb11db354a')","Ammonium, ion ('water',)",-0.0271,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '91955aba-6ebc-4413-9342-f0298860b4aa')","BOD5, Biological Oxygen Demand ('water',)",1,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '30f484ee-dec4-47ae-8e92-d00d4b93fe05')","Chromium, ion ('water',)",-5.14E-09,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '961ccd56-2eee-4f57-bb18-fc4362b49000')","COD, Chemical Oxygen Demand ('water',)",3.4,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'c4d10bd2-09da-4082-8cb3-022c92c53221')","Cyanide ('water',)",-4.30E-08,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '5ce634de-b810-4533-9efb-719c38fe7c09')","Dissolved solids ('water',)",0.238,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'de444dc0-5964-4501-8367-50ba53bfc6b9')","Iron, ion ('water',)",0.182,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '5189de76-6bbb-44ba-8c42-5714f1b4371f')","Nitrate ('water',)",-0.00154,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', 'dcfe0815-6fa3-4e1d-a55e-155b29904f1d')","Nitrogen ('water',)",-0.0145,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '6da0e891-3648-43a5-b0cf-f1872c57db8d')","Oils, unspecified ('water',)",-2.71E-05,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '39153cb9-a8fe-4fc8-beef-1bf1edceb8e7')","Phenol ('water',)",0.0022,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '2d4b8ec1-8d53-4e62-8a11-ebc45909b02e')","Phosphorus ('water',)",-0.0411,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '0e940fff-f3ba-41b4-a5c6-d53a88bfc707')","Sulfide ('water', 'surface water')",0.182,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '693921ef-e02d-4072-add0-55aa4631b213')","Suspended solids, unspecified ('water',)",0.439,kilogram,,,,,,,,
OCC,OCC,"('biosphere3', '2c7be02c-791f-4fef-b231-b90321bbeb30')","Zinc, ion ('water',)",-1.03,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Industrial_Residual_Disposal')",,-0.003,Mg,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Electricity_production')",Electricity_production,894.08,kWh,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Equipment_Diesel')",Equipment_Diesel,-7.63,L,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Equipment_CNG')",Equipment_CNG,-104.52,-,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Equipment_Residual_Fuel_Oil')",Equipment_Residual_Fuel_Oil,-4.66,L,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Internal_Process_Transportation_Heavy_Duty_Diesel_Truck')",Internal_Process_Transportation_Heavy_Duty_Diesel_Truck,-213865,kgkm,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Internal_Process_Transportation_Medium_Duty_Diesel_Truck')",Internal_Process_Transportation_Medium_Duty_Diesel_Truck,-213865,kgkm,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Internal_Process_Transportation_Barge')",Internal_Process_Transportation_Barge,-941,kgkm,,,,,,,,
Mixed_Paper,Mixed_Paper,"('Technosphere', 'Internal_Process_Transportation_Rail')",Internal_Process_Transportation_Rail,-185026,kgkm,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', 'Operational_Cost')",Amortized Operating Cost,-81,$,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '06f0a67c-ec68-435d-8c32-0decd79a4a1a')","Aldehydes, unspecified ('air',)",-0.00896,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', 'eba59fd6-f37e-41dc-9ca3-c7ea22d602c7')","Carbon dioxide, non-fossil ('air',)",1780,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '39d1390a-ded6-41cb-a536-d47510bf2fbc')","Chlorine ('air',)",-2.17E-06,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', 'f9abb851-8731-4c5b-b057-863996a1f94a')","Hydrocarbons, unspecified ('air', 'non-urban air or from high stacks')",-0.0896,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '71234253-b3a7-4dfe-b166-a484ad15bee7')","Mercury ('air',)",-3.77E-06,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', 'a5506f4b-113f-4713-95c3-c819dde6e48b')","Nickel ('air',)",-0.316,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', 'c1b91234-6f24-417b-8309-46111d09c457')","Nitrogen oxides ('air',)",0.000613,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '66020d27-7ae4-4e59-83a3-89214b72c40a')","Particulates, > 10 um ('air',)",-0.514,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', 'ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd')","Sulfur oxides ('air',)",-0.622,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '91955aba-6ebc-4413-9342-f0298860b4aa')","BOD5, Biological Oxygen Demand ('water',)",2.80E+00,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '961ccd56-2eee-4f57-bb18-fc4362b49000')","COD, Chemical Oxygen Demand ('water',)",8.22,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '5ce634de-b810-4533-9efb-719c38fe7c09')","Dissolved solids ('water',)",0.377,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '31c4d160-b21e-41b3-b9c1-3d7a72377653')","Lead ('water',)",-1.31E-06,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '9325957a-bee5-4f2d-8bd1-458729c5e49e')","Mercury ('water',)",-1.08E-08,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', 'ee2c5c6c-ff01-4151-8332-d4bf1508c759')","Methanol ('water',)",-0.0132,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '6ec6cdaa-5a01-46d4-b716-1905e56690ea')","Nickel, ion ('water',)",-7.55E-09,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '39153cb9-a8fe-4fc8-beef-1bf1edceb8e7')","Phenol ('water',)",-2.92E-07,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '0e940fff-f3ba-41b4-a5c6-d53a88bfc707')","Sulfide ('water', 'surface water')",-1.04E-06,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '693921ef-e02d-4072-add0-55aa4631b213')","Suspended solids, unspecified ('water',)",2.78,kilogram,,,,,,,,
Mixed_Paper,Mixed_Paper,"('biosphere3', '2c7be02c-791f-4fef-b231-b90321bbeb30')","Zinc, ion ('water',)",-0.000165,kilogram,,,,,,,,
ONP,ONP,"('Technosphere', 'Industrial_Residual_Disposal')",,-0.003,Mg,,,,,,,,
ONP,ONP,"('Technosphere', 'Industrial_Wastewater_Treatment')",,-0.622,Mg,,,,,,,,
ONP,ONP,"('Technosphere', 'Electricity_production')",Electricity_production,894.08,kWh,,,,,,,,
ONP,ONP,"('Technosphere', 'Equipment_Diesel')",Equipment_Diesel,-7.63,L,,,,,,,,
ONP,ONP,"('Technosphere', 'Equipment_CNG')",Equipment_CNG,-104.52,-,,,,,,,,
ONP,ONP,"('Technosphere', 'Equipment_Residual_Fuel_Oil')",Equipment_Residual_Fuel_Oil,-4.66,L,,,,,,,,
ONP,ONP,"('Technosphere', 'Internal_Process_Transportation_Heavy_Duty_Diesel_Truck')",Internal_Process_Transportation_Heavy_Duty_Diesel_Truck,-213865,kgkm,,,,,,,,
ONP,ONP,"('Technosphere', 'Internal_Process_Transportation_Medium_Duty_Diesel_Truck')",Internal_Process_Transportation_Medium_Duty_Diesel_Truck,-213865,kgkm,,,,,,,,
ONP,ONP,"('Technosphere', 'Internal_Process_Transportation_Barge')",Internal_Process_Transportation_Barge,-941,kgkm,,,,,,,,
ONP,ONP,"('Technosphere', 'Internal_Process_Transportation_Cargo_Ship')",Internal_Process_Transportation_Cargo_Ship,114,kgkm,,,,,,,,
ONP,ONP,"('Technosphere', 'Internal_Process_Transportation_Rail')",Internal_Process_Transportation_Rail,-185026,kgkm,,,,,,,,
ONP,ONP,"('biosphere3', 'Operational_Cost')",Amortized Operating Cost,-66,$,,,,,,,,
ONP,ONP,"('biosphere3', '06f0a67c-ec68-435d-8c32-0decd79a4a1a')","Aldehydes, unspecified ('air',)",-0.00896,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', 'eba59fd6-f37e-41dc-9ca3-c7ea22d602c7')","Carbon dioxide, non-fossil ('air',)",1780,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '39d1390a-ded6-41cb-a536-d47510bf2fbc')","Chlorine ('air',)",-2.17E-06,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', 'f9abb851-8731-4c5b-b057-863996a1f94a')","Hydrocarbons, unspecified ('air', 'non-urban air or from high stacks')",-0.0896,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '71234253-b3a7-4dfe-b166-a484ad15bee7')","Mercury ('air',)",-3.77E-06,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', 'a5506f4b-113f-4713-95c3-c819dde6e48b')","Nickel ('air',)",-0.316,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', 'c1b91234-6f24-417b-8309-46111d09c457')","Nitrogen oxides ('air',)",0.000613,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '66020d27-7ae4-4e59-83a3-89214b72c40a')","Particulates, > 10 um ('air',)",-0.514,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', 'ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd')","Sulfur oxides ('air',)",-0.622,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '91955aba-6ebc-4413-9342-f0298860b4aa')","BOD5, Biological Oxygen Demand ('water',)",2.8,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '961ccd56-2eee-4f57-bb18-fc4362b49000')","COD, Chemical Oxygen Demand ('water',)",8.22,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '5ce634de-b810-4533-9efb-719c38fe7c09')","Dissolved solids ('water',)",0.377,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '31c4d160-b21e-41b3-b9c1-3d7a72377653')","Lead ('water',)",-1.31E-06,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '9325957a-bee5-4f2d-8bd1-458729c5e49e')","Mercury ('water',)",-1.08E-08,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', 'ee2c5c6c-ff01-4151-8332-d4bf1508c759')","Methanol ('water',)",-0.0132,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '6ec6cdaa-5a01-46d4-b716-1905e56690ea')","Nickel, ion ('water',)",-7.55E-09,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '39153cb9-a8fe-4fc8-beef-1bf1edceb8e7')","Phenol ('water',)",-2.92E-07,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '0e940fff-f3ba-41b4-a5c6-d53a88bfc707')","Sulfide ('water', 'surface water')",-1.04E-06,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '693921ef-e02d-4072-add0-55aa4631b213')","Suspended solids, unspecified ('water',)",2.78,kilogram,,,,,,,,
ONP,ONP,"('biosphere3', '2c7be02c-791f-4fef-b231-b90321bbeb30')","Zinc, ion ('water',)",-0.000165,kilogram,,,,,,,,
OFF,OFF,"('Technosphere', 'Industrial_Residual_Disposal')",,0.013,Mg,,,,,,,,
OFF,OFF,"('Technosphere', 'Electricity_consumption')",Electricity_consumption,126.05,kWh,,,,,,,,
OFF,OFF,"('Technosphere', 'Equipment_CNG')",Equipment_CNG,27.33,-,,,,,,,,
OFF,OFF,"('Technosphere', 'Equipment_Residual_Fuel_Oil')",Equipment_Residual_Fuel_Oil,9.05,L,,,,,,,,
OFF,OFF,"('biosphere3', 'Operational_Cost')",Amortized Operating Cost,-154,$,,,,,,,,
OFF,OFF,"('biosphere3', '349b29d1-3e58-4c66-98b9-9d1a076efd2e')","Carbon dioxide, fossil ('air',)",278,kilogram,,,,,,,,
OFF,OFF,"('biosphere3', 'eba59fd6-f37e-41dc-9ca3-c7ea22d602c7')","Carbon dioxide, non-fossil ('air',)",-3800,kilogram,,,,,,,,
OFF,OFF,"('biosphere3', 'f9abb851-8731-4c5b-b057-863996a1f94a')","Hydrocarbons, unspecified ('air', 'non-urban air or from high stacks')",-1.48,kilogram,,,,,,,,
OFF,OFF,"('biosphere3', 'c1b91234-6f24-417b-8309-46111d09c457')","Nitrogen oxides ('air',)",-1.2,kilogram,,,,,,,,
OFF,OFF,"('biosphere3', '66020d27-7ae4-4e59-83a3-89214b72c40a')","Particulates, > 10 um ('air',)",-2.55,kilogram,,,,,,,,
OFF,OFF,"('biosphere3', 'ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd')","Sulfur oxides ('air',)",-0.621,kilogram,,,,,,,,
