,Combustion Efficiency (% of VS),Heat Lost via Ashes - Cp (J/g K),Temperature Difference (K),Fraction of Al that is Recoverable,Fraction of Recoverable Al Oxidized During Combustion,Fraction of Fe that is Recoverable,Fraction of Recoverable Fe Oxidized During Combustion,Fraction of Cu that is Recoverable,Fraction of Recoverable Cu Oxidized During Combustion
Name,Comb_eff,Cp,Deltat,Al_frac_recoverable,Al_frac_oxidized,Fe_frac_recoverable,Fe_frac_oxidized,Cu_frac_recoverable,Cu_frac_oxidized
Unit,,,,,,,,,
Source,,,,,,,,,
Yard_Trimmings_Leaves,100,0.84,130,0,0.25,0,0,0,0
Yard_Trimmings_Grass,100,0.84,130,0,0.25,0,0,0,0
Yard_Trimmings_Branches,100,2.5,130,0,0.25,0,0,0,0
Food_Waste_Vegetable,100,0.84,130,0,0.25,0,0,0,0
Food_Waste_Non_Vegetable,100,0.84,130,0,0.25,0,0,0,0
Wood,100,2.5,130,0,0.25,0,0,0,0
Wood_Other,100,2.5,130,0,0.25,0,0,0,0
Textiles,100,0.84,130,0,0.25,0,0,0,0
Rubber_Leather,100,1.551,130,0,0.25,0,0,0,0
Newsprint,100,1.336,130,0,0.25,0,0,0,0
Corr_Cardboard,100,1.336,130,0,0.25,0,0,0,0
Office_Paper,100,1.336,130,0,0.25,0,0,0,0
Magazines,100,1.336,130,0,0.25,0,0,0,0
third_Class_Mail,100,1.336,130,0,0.25,0,0,0,0
Folding_Containers,100,1.336,130,0,0.25,0,0,0,0
Paper_Bags,100,1.336,130,0,0.25,0,0,0,0
Mixed_Paper,100,1.336,130,0,0.25,0,0,0,0
Paper_Non_recyclable,100,1.336,130,0,0.25,0,0,0,0
HDPE_Translucent_Containers,100,1.67,130,0,0.25,0,0,0,0
HDPE_Pigmented_Containers,100,1.67,130,0,0.25,0,0,0,0
PET_Containers,100,1.67,130,0,0.25,0,0,0,0
Plastic_Other_1_Polypropylene,100,1.67,130,0,0.25,0,0,0,0
Plastic_Other_2,100,1.67,130,0,0.25,0,0,0,0
Mixed_Plastic,100,1.67,130,0,0.25,0,0,0,0
Plastic_Film,100,0.46,130,0,0.25,0,0,0,0
Plastic_Non_Recyclable,100,0.46,130,0,0.25,0,0,0,0
Ferrous_Cans,100,0.87,130,1,0.25,1,0,1,0
Ferrous_Metal_Other,100,0.87,130,1,0.25,1,0,1,0
Aluminum_Cans,100,0.87,130,1,0.25,1,0,1,0
Aluminum_Foil,100,0.46,130,1,0.25,1,0,1,0
Aluminum_Other,100,0.87,130,1,0.25,1,0,1,0
Ferrous_Non_recyclable,100,0.84,130,1,0.25,1,0,1,0
Al_Non_recyclable,100,0.84,130,1,0.25,1,0,1,0
Glass_Brown,100,0.84,130,0,0.25,0,0,0,0
Glass_Green,100,0.84,130,0,0.25,0,0,0,0
Glass_Clear,100,0.84,130,0,0.25,0,0,0,0
Mixed_Glass,100,0.84,130,0,0.25,0,0,0,0
Glass_Non_recyclable,100,0.84,130,0,0.25,0,0,0,0
Misc_Organic,100,0.84,130,0,0.25,0,0,0,0
Misc_Inorganic,100,0.84,130,0,0.25,0,0,0,0
E_waste,100,0.84,130,1,0.25,1,0,1,0
Aerobic_Residual,100,0.84,130,0,0.25,0,0,0,0
Anaerobic_Residual,100,0.84,130,0,0.25,0,0,0,0
Bottom_Ash,100,0.84,130,0,0.25,0,0,0,0
Fly_Ash,100,0.84,130,0,0.25,0,0,0,0
Diapers_and_sanitary_products,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_47,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_48,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_49,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_50,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_51,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_52,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_53,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_54,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_55,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_56,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_57,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_58,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_59,100,0.84,130,0,0.25,0,0,0,0
Waste_Fraction_60,100,0.84,130,0,0.25,0,0,0,0
