Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Equipment:Rolling Stock,Eq_Rolling_Stock,Calc_base,Mass Used in Resource Calculations,2,0/1/2 (Removed/Remaining/TotalThroughput),,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,Max_input,Max Throughput ,24,Mg/hr,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,frac_MaxInput,Fraction of Max Throughput ,0.85,frac,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,frac_motor,Fraction of Motor Rated Capacity Utilized,0,frac,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,motor,Motor Size,0,kW,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,diesel_use,Diesel Consumption ,0.7,L/Mg,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,LPG_use,LPG Consumption,0,m3/Mg,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,Investment_cost,Investment Cost,350000,$,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,Installation_cost,Installation Cost,35000,$,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,,,,,,,,Industry Data
Equipment:Rolling Stock,Eq_Rolling_Stock,N_Labor,Number of Laborers Required ,0,person,,,,,,,,
Equipment:Rolling Stock,Eq_Rolling_Stock,N_Driver,Number of Drivers Required,1,person,,,,,,,,Industry Data
Equipment:Rolling Stock,Eq_Rolling_Stock,LifeTime,Economic Lifetime,10,yr,,,,,,,,
Electricity,Electricity,Area_rate,Indoor Floor Area Rate,12.2,m2/tpd,,,,,,,,Industry Data
Electricity,Electricity,Frac_office,Percent Office Floor Area,0.04,frac of total m2,,,,,,,,
Electricity,Electricity,Elec_office,Electricity Consumed in Offices,0.51,kWh/m2-day,,,,,,,,
Electricity,Electricity,Elec_floor,Electricity Consumed on floor,0.02,kWh/m2-day,,,,,,,,
Labor,Labor,Hr_shift,Paid Hours in Shift,9,hrs/shift,,,,,,,,
Labor,Labor,Shift_day,Number of Shifts Per Workday,2,shift/day,,,,,,,,
Labor,Labor,Day_year,Days Operating Per Year,260,days/year,,,,,,,,
Labor,Labor,Fringe_rate,Fringe Rate,0.3333,fraction of Pay Rate,,,,,,,,
Labor,Labor,Management_rate,Labor Management Rate,0.5,fraction of Labor,,,,,,,,
Labor,Labor,Labor_rate,Labor Pay Rate,10,$/Sorter-hr,,,,,,,,
Labor,Labor,Driver_rate,Driver Pay Rate,12,$/Driver-hr,,,,,,,,
Contruction Cost,Constr_cost,Grading_rate,Grading cost per acre,31400,$/ha,,,,,,,,
Contruction Cost,Constr_cost,Paving_rate,Paving cost,123000,$/ha,,,,,,,,
Contruction Cost,Constr_cost,Interest_rate,Annual Interest Rate,0.035,-,,,,,,,,
Contruction Cost,Constr_cost,lifetime,Life of MRF Structure,20,yrs,,,,,,,,
Contruction Cost,Constr_cost,Constr_rate,Construction Cost Rate,97.7,$/ft2,,,,,,,,
Contruction Cost,Constr_cost,Eng_rate,Engineering Rate,0.32,fraction of const cost,,,,,,,,
Contruction Cost,Constr_cost,Land_rate,Land Cost,10000,$/acre,,,,,,,,
Contruction Cost,Constr_cost,Land_req_factor,Land Requirement Factor,3,-,,,,,,,,
Contruction Cost,Constr_cost,Weigh_Station,Weigh Station,105000,$,,,,,,,,
Contruction Cost,Constr_cost,Utility_Connections,Utility Connections,25000,$,,,,,,,,
Contruction Cost,Constr_cost,Fencing_Rate,Fencing,56,$/m,,,,,,,,
Contruction Cost,Constr_cost,Landscaping_rate,Landscaping,10000,$/ha,,,,,,,,
