,Comb_eff,Ash_Cp,Delta T,Frac_recoverable_Al,Al_frac_oxidized,Frac_recoverable_Fe,Fe_frac_oxidized
Description,Combustion Efficiency,Heat Lost via Ashes (Cp),Temperature Difference,Fraction Recoverable as Al,Fraction of Recoverable Al Oxidized During Combustion,Fraction Recoverable as Fe,Fraction of Recoverable Fe Oxidized During Combustion
Unit,% of VS,kJ/kg.K,K,,,,
Source,,,,,,,
Yard_Trimmings_Leaves,100,0.84,130,0,0,0,0
Yard_Trimmings_Grass,100,0.84,130,0,0,0,0
Yard_Trimmings_Branches,100,2.5,130,0,0,0,0
Food_Waste_Vegetable,100,0.84,130,0,0,0,0
Food_Waste_Non_Vegetable,100,0.84,130,0,0,0,0
Wood,100,2.5,130,0,0,0,0
Wood_Other,100,2.5,130,0,0,0,0
Textiles,100,0.84,130,0,0,0,0
Rubber_Leather,100,1.551,130,0,0,0,0
Newsprint,100,1.336,130,0,0,0,0
Corr_Cardboard,100,1.336,130,0,0,0,0
Office_Paper,100,1.336,130,0,0,0,0
Magazines,100,1.336,130,0,0,0,0
Third_Class_Mail,100,1.336,130,0,0,0,0
Folding_Containers,100,1.336,130,0,0,0,0
Paper_Bags,100,1.336,130,0,0,0,0
Mixed_Paper,100,1.336,130,0,0,0,0
Paper_Non_recyclable,100,1.336,130,0,0,0,0
HDPE_Translucent_Containers,100,1.67,130,0,0,0,0
HDPE_Pigmented_Containers,100,1.67,130,0,0,0,0
PET_Containers,100,1.67,130,0,0,0,0
Plastic_Other_1_Polypropylene,100,1.67,130,0,0,0,0
Plastic_Other_2,100,1.67,130,0,0,0,0
Mixed_Plastic,100,1.67,130,0,0,0,0
Plastic_Film,100,0.46,130,0,0,0,0
Plastic_Non_Recyclable,100,0.46,130,0,0,0,0
Ferrous_Cans,100,0.87,130,0,0,1,0
Ferrous_Metal_Other,100,0.87,130,0,0,1,0
Aluminum_Cans,100,0.87,130,1,0.25,0,0
Aluminum_Foil,100,0.46,130,1,0.25,0,0
Aluminum_Other,100,0.87,130,1,0.25,0,0
Ferrous_Non_recyclable,100,0.84,130,0,0,0,0
Al_Non_recyclable,100,0.84,130,0,0.25,0,0
Glass_Brown,100,0.84,130,0,0,0,0
Glass_Green,100,0.84,130,0,0,0,0
Glass_Clear,100,0.84,130,0,0,0,0
Mixed_Glass,100,0.84,130,0,0,0,0
Glass_Non_recyclable,100,0.84,130,0,0,0,0
Misc_Organic,100,0.84,130,0,0,0,0
Misc_Inorganic,100,0.84,130,0,0,0,0
E_waste,100,0.84,130,0,0,0,0
Bottom_Ash,100,0.84,130,0,0,0,0
Fly_Ash,100,0.84,130,0,0,0,0
Diapers_and_sanitary_products,100,0.84,130,0,0,0,0
