key,name,categories,value,unit
"('biosphere3', '8bc65fca-548d-4831-b102-391bbdd6bc8c')","Aluminium, 24% in bauxite, 11% in crude ore, in ground","('natural resource', 'in ground')",1.0943318963e-09,
"('biosphere3', '6df9ea09-115a-4678-9f30-d92c877a46ec')","Anhydrite, in ground","('natural resource', 'in ground')",0.0,
"('biosphere3', 'c13beafb-2aed-4a52-b09a-78d28913b6ce')","Barite, 15% in crude ore, in ground","('natural resource', 'in ground')",6.0420369673e-06,
"('biosphere3', 'eead2933-c2be-4a53-a0bd-bd33b67e4145')","Borax, in ground","('natural resource', 'in ground')",0.0042716515868,
"('biosphere3', '621b1cf1-9b47-4c44-b71e-ebeb9afd9bbc')","Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In, in ground","('natural resource', 'in ground')",0.15657746333,
"('biosphere3', 'ef6dd09f-bddc-49b4-a207-dbaec2f07bb5')","Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('natural resource', 'in ground')",0.00044270811178,
"('biosphere3', '15545dca-018d-4f7f-aa1f-796b707180af')","Cinnabar, in ground","('natural resource', 'in ground')",0.092226828084,
"('biosphere3', 'd0779a5e-6969-4144-954e-ceb81fb83f15')","Cobalt, in ground","('natural resource', 'in ground')",1.5688244906e-05,
"('biosphere3', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')","Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')","Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', '79df5650-160a-4ab7-a14f-cc8162877f4a')","Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')","Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', '31998285-fb5c-411d-b853-ce78be2a0b49')","Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')","Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', 'b569dc97-52fe-4e39-9627-183b1002c287')","Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')","Copper, Cu 0.38%, in mixed ore, in ground","('natural resource', 'in ground')",0.0013659227538,
"('biosphere3', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')","Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('natural resource', 'in ground')",0.0013659227538,
