key,name,categories,value,unit
"('biosphere3', 'd6235194-e4e6-4548-bfa3-ac095131aef4')","Carbon dioxide, non-fossil","('air', 'non-urban air or from high stacks')",0.0,kg CO2-Eq
"('biosphere3', '4e1f0bb0-2703-4303-bf86-972d810612cf')","Carbon dioxide, non-fossil","('air', 'lower stratosphere + upper troposphere')",0.0,kg CO2-Eq
"('biosphere3', 'eba59fd6-f37e-41dc-9ca3-c7ea22d602c7')","Carbon dioxide, non-fossil","('air',)",0.0,kg CO2-Eq
"('biosphere3', '73ed05cc-9727-4abf-9516-4b5c0fe54a16')","Carbon dioxide, non-fossil","('air', 'urban air close to ground')",0.0,kg CO2-Eq
"('biosphere3', '28e1e2d6-97ad-4dfd-932a-9edad36dcab9')","Carbon dioxide, non-fossil","('air', 'low population density, long-term')",0.0,kg CO2-Eq
"('biosphere3', 'e259263c-d1f1-449f-bb9b-73c6d0a32a00')","Carbon dioxide, fossil","('air', 'low population density, long-term')",1.0,kg CO2-Eq
"('biosphere3', '16eeda8a-1ea2-408e-ab37-2648495058dd')","Carbon dioxide, fossil","('air', 'lower stratosphere + upper troposphere')",1.0,kg CO2-Eq
"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')","Carbon dioxide, fossil","('air', 'non-urban air or from high stacks')",1.0,kg CO2-Eq
"('biosphere3', '349b29d1-3e58-4c66-98b9-9d1a076efd2e')","Carbon dioxide, fossil","('air',)",1.0,kg CO2-Eq
"('biosphere3', 'f9749677-9c9f-4678-ab55-c607dfdc2cb9')","Carbon dioxide, fossil","('air', 'urban air close to ground')",1.0,kg CO2-Eq
"('biosphere3', '5188df39-2bb8-4826-b469-fa9f86bacc09')","Carbon dioxide, from soil or biomass stock","('air', 'indoor')",1.0,kg CO2-Eq
"('biosphere3', 'e1c597cc-14cb-4ebb-af07-7a93a5b77d34')","Carbon dioxide, from soil or biomass stock","('air', 'low population density, long-term')",1.0,kg CO2-Eq
"('biosphere3', '6d89125e-e9b7-4d7e-a1fc-ada45dbd8815')","Carbon dioxide, from soil or biomass stock","('air', 'lower stratosphere + upper troposphere')",1.0,kg CO2-Eq
"('biosphere3', '78eb1859-abd9-44c6-9ce3-f3b5b33d619c')","Carbon dioxide, from soil or biomass stock","('air', 'non-urban air or from high stacks')",1.0,kg CO2-Eq
"('biosphere3', 'e4e9febc-07c1-403d-8d3a-6707bb4d96e6')","Carbon dioxide, from soil or biomass stock","('air',)",1.0,kg CO2-Eq
"('biosphere3', 'e8787b5e-d927-446d-81a9-f56977bbfeb4')","Carbon dioxide, from soil or biomass stock","('air', 'urban air close to ground')",1.0,kg CO2-Eq
"('biosphere3', '588356df-f3b4-43a7-a76e-c47175a7eae0')","Carbon monoxide, non-fossil","('air', 'low population density, long-term')",0.0,kg CO2-Eq
"('biosphere3', '968495ec-1000-438a-9e11-467776ebb54e')","Carbon monoxide, non-fossil","('air', 'lower stratosphere + upper troposphere')",0.0,kg CO2-Eq
"('biosphere3', 'b821ad93-ba6a-4d74-b6ae-ca12cd9563d7')","Carbon monoxide, non-fossil","('air', 'non-urban air or from high stacks')",0.0,kg CO2-Eq
"('biosphere3', '2cb2333c-1599-46cf-8435-3dffce627524')","Carbon monoxide, non-fossil","('air',)",0.0,kg CO2-Eq
"('biosphere3', '9afa0173-ecbd-4f2c-9c5c-b3128a032812')","Carbon monoxide, non-fossil","('air', 'urban air close to ground')",0.0,kg CO2-Eq
"('biosphere3', '49c594c6-b6a8-42a3-95c5-cca812fda80b')","Carbon monoxide, fossil","('air', 'low population density, long-term')",1.5714,kg CO2-Eq
"('biosphere3', 'a3beb5ac-5149-47f6-a035-53fc5030f10a')","Carbon monoxide, fossil","('air', 'lower stratosphere + upper troposphere')",1.5714,kg CO2-Eq
"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')","Carbon monoxide, fossil","('air', 'non-urban air or from high stacks')",1.5714,kg CO2-Eq
"('biosphere3', 'ba2f3f82-c93a-47a5-822a-37ec97495275')","Carbon monoxide, fossil","('air',)",1.5714,kg CO2-Eq
"('biosphere3', '6edcc2df-88a3-48e1-83d8-ffc38d31c35b')","Carbon monoxide, fossil","('air', 'urban air close to ground')",1.5714,kg CO2-Eq
"('biosphere3', '05f6e226-0593-46f5-a788-01fa306e66ad')","Carbon monoxide, from soil or biomass stock","('air', 'indoor')",1.5714,kg CO2-Eq
"('biosphere3', 'bd086aa3-312a-47af-a7b2-04fddbf8f01e')","Carbon monoxide, from soil or biomass stock","('air', 'low population density, long-term')",1.5714,kg CO2-Eq
"('biosphere3', 'e1da7e11-cc2c-4ea2-a42a-bf558150014b')","Carbon monoxide, from soil or biomass stock","('air', 'lower stratosphere + upper troposphere')",1.5714,kg CO2-Eq
"('biosphere3', '68b9b577-90cf-49e4-88bb-a55d80f3ac5d')","Carbon monoxide, from soil or biomass stock","('air', 'non-urban air or from high stacks')",1.5714,kg CO2-Eq
"('biosphere3', '69a6c884-39be-444f-a67c-7436a5e66de2')","Carbon monoxide, from soil or biomass stock","('air',)",1.5714,kg CO2-Eq
"('biosphere3', '51c58d09-0699-4d51-80b3-a1bb2b9313e4')","Carbon monoxide, from soil or biomass stock","('air', 'urban air close to ground')",1.5714,kg CO2-Eq
"('biosphere3', '78259cf2-1bb2-41ec-941c-9d70909df094')",Chloroform,"('air', 'low population density, long-term')",31.0,kg CO2-Eq
"('biosphere3', '98af3079-fb76-488d-8afe-713814e14d36')",Chloroform,"('air', 'lower stratosphere + upper troposphere')",31.0,kg CO2-Eq
"('biosphere3', 'fa9b9736-6de8-4bd6-ba22-1bd78c798373')",Chloroform,"('air', 'non-urban air or from high stacks')",31.0,kg CO2-Eq
"('biosphere3', 'fbf6ab3a-74e3-4cbe-b61d-959728bdce46')",Chloroform,"('air',)",31.0,kg CO2-Eq
"('biosphere3', '4cadbc9f-0472-4bb9-a942-df5b90e37878')",Chloroform,"('air', 'urban air close to ground')",31.0,kg CO2-Eq
"('biosphere3', '6abf9e1a-c33e-49ae-aeae-ab84cee7d2ab')",Dimethyl ether,"('air', 'indoor')",1.0,kg CO2-Eq
"('biosphere3', 'f2d8ab10-7974-4038-9339-b8a204d26331')",Dimethyl ether,"('air', 'low population density, long-term')",1.0,kg CO2-Eq
"('biosphere3', '4f061396-da10-49b3-a7ac-ac1d2eb49fa1')",Dimethyl ether,"('air', 'lower stratosphere + upper troposphere')",1.0,kg CO2-Eq
"('biosphere3', '50cbb355-9a33-4e15-986a-c95c40931638')",Dimethyl ether,"('air', 'non-urban air or from high stacks')",1.0,kg CO2-Eq
"('biosphere3', 'acfeda73-2eee-4ca2-ad41-e8c564e75cec')",Dimethyl ether,"('air',)",1.0,kg CO2-Eq
"('biosphere3', '7c76ca96-5e7e-43be-aa71-a64627cdca23')",Dimethyl ether,"('air', 'urban air close to ground')",1.0,kg CO2-Eq
"('biosphere3', '81305cda-63f1-4c1a-99c6-2c2568550ec4')",Dinitrogen monoxide,"('air', 'low population density, long-term')",298.0,kg CO2-Eq
"('biosphere3', '473826ae-125a-4b02-8c8e-c84322491d80')",Dinitrogen monoxide,"('air', 'lower stratosphere + upper troposphere')",298.0,kg CO2-Eq
"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')",Dinitrogen monoxide,"('air', 'non-urban air or from high stacks')",298.0,kg CO2-Eq
"('biosphere3', '20185046-64bb-4c09-a8e7-e8a9e144ca98')",Dinitrogen monoxide,"('air',)",298.0,kg CO2-Eq
"('biosphere3', '6dc1b46f-ee89-4495-95c4-b8a637bcd6cb')",Dinitrogen monoxide,"('air', 'urban air close to ground')",298.0,kg CO2-Eq
"('biosphere3', '647ae26f-f2fe-44cb-ac81-39bb7736f28e')","Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'low population density, long-term')",1430.0,kg CO2-Eq
"('biosphere3', '75fe1a2c-49fa-49e4-90f1-8f102508a96d')","Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'lower stratosphere + upper troposphere')",1430.0,kg CO2-Eq
"('biosphere3', '16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74')","Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'non-urban air or from high stacks')",1430.0,kg CO2-Eq
"('biosphere3', 'e87f039d-d9ce-4242-ac18-c9284cc80f3d')","Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air',)",1430.0,kg CO2-Eq
"('biosphere3', 'fa0c2bee-8dd9-4f8a-8489-b1f3b43de958')","Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'urban air close to ground')",1430.0,kg CO2-Eq
"('biosphere3', 'f8ee4881-a003-4e18-aa2a-d9daf97d76f7')","Ethane, 1,1,1-trichloro-, HCFC-140","('air', 'low population density, long-term')",146.0,kg CO2-Eq
"('biosphere3', '9e7d019f-c8c0-4631-9bbb-ced3e081c90d')","Ethane, 1,1,1-trichloro-, HCFC-140","('air', 'lower stratosphere + upper troposphere')",146.0,kg CO2-Eq
